BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
19-157142,False,False,False,False,True,False,False,
19-179319,False,False,False,False,True,False,False,
19-181745,False,False,False,False,False,True,False,
20-16718,False,False,False,False,False,True,False,
20-17169,False,False,False,True,False,False,False,
20-19687,False,False,False,False,False,False,True,
20-29389,False,True,False,False,False,False,False,
20-30268,False,False,False,False,False,False,True,
20-30281,False,True,False,False,False,False,False,
20-30298,False,False,False,True,False,False,False,
20-32619,False,True,False,False,False,False,False,
20-33386,False,False,False,False,False,False,False,
20-33499,False,False,False,False,True,False,False,
20-33863,False,False,False,True,False,False,False,
20-34254,False,False,False,False,False,False,True,
20-35207,False,False,False,False,True,False,False,
20-35606,False,False,False,False,False,False,False,
20-35802,False,False,True,False,False,False,False,
20-36109,False,False,False,False,True,False,False,
20-36422,False,False,False,False,False,False,False,
20-37701,False,False,False,False,True,False,False,
20-38010,False,False,False,True,False,False,False,
20-38443,False,False,False,True,False,False,False,
20-38721,False,True,False,False,False,False,False,
20-38770,False,False,False,True,False,False,False,
20-39192,False,False,False,False,False,False,True,
20-39480,False,False,False,False,False,False,False,
20-39668,False,False,False,False,True,False,False,
20-41616,False,True,False,False,False,False,False,
20-43057,False,False,False,False,True,False,False,
20-43708,False,False,False,True,False,False,False,
20-43812,False,False,False,False,False,False,True,
20-43927,False,True,False,False,False,False,False,
20-43962,False,False,False,False,False,False,True,
20-44296,False,False,False,False,True,False,False,
20-45426,False,False,False,False,False,True,False,
20-45540,False,False,False,True,False,False,False,
20-45812,False,False,False,False,False,False,True,
20-47177,False,False,False,False,False,False,False,
20-47368,False,False,False,False,False,False,True,
20-48638,False,False,False,False,False,False,True,
20-31889,False,False,False,False,False,True,False,
20-49368,False,False,False,True,False,False,False,
20-49566,False,False,False,False,False,False,True,
20-49823,False,False,False,False,False,False,True,
20-49939,False,True,False,False,False,False,False,
20-50420,False,False,False,False,True,False,False,
20-50507,False,False,False,False,False,True,False,
20-50884,False,False,False,True,False,False,False,
20-51119,False,False,False,False,False,False,True,
20-51200,False,False,False,True,False,False,False,
20-51323,False,False,False,False,False,False,True,
20-51556,False,False,False,False,False,False,False,
20-51797,False,False,False,False,False,False,False,
20-52047,False,False,False,False,False,False,False,
20-52450,False,False,False,False,False,False,True,
20-53079,False,False,False,False,True,False,False,
20-53311,False,False,False,True,False,False,False,
20-53343,False,False,False,True,False,False,False,
20-53352,False,False,False,False,False,False,True,
20-53375,False,False,False,False,True,False,False,
20-53656,False,False,False,True,False,False,False,
20-53673,False,False,False,False,True,False,False,
20-53691,False,False,False,False,False,False,True,
20-53767,False,False,False,False,False,True,False,
20-54186,False,False,False,False,False,False,True,
20-54247,False,False,False,False,False,False,False,
20-54304,False,False,False,False,False,False,False,
20-54439,False,False,False,False,False,True,False,
20-54453,False,False,False,False,False,False,True,
20-54824,False,False,False,False,False,False,True,
20-54854,False,True,False,False,False,False,False,
20-54930,False,False,False,False,False,False,False,
20-54959,False,False,False,False,False,False,True,
20-54972,False,True,False,False,False,False,False,
20-54985,False,False,False,False,True,False,False,
20-55791,False,False,False,False,False,False,True,
20-56136,False,False,False,True,False,False,False,
20-56201,False,False,False,False,False,False,True,
20-56206,False,False,False,False,False,False,True,
20-56248,False,False,False,True,False,False,False,
20-56255,False,False,True,False,False,False,False,
20-32442,False,False,True,False,False,False,False,
20-56345,False,False,False,False,False,False,False,
20-56365,False,False,False,True,False,False,False,
20-56611,False,False,False,False,False,False,False,
20-56617,False,False,False,False,False,False,False,
20-56642,False,False,False,True,False,False,False,
20-56915,False,False,False,False,False,False,False,
20-57084,False,False,False,False,False,False,False,
20-57181,False,False,False,True,False,False,False,
20-57198,False,False,True,False,False,False,False,
20-57219,False,False,False,False,True,False,False,
20-57392,False,False,False,True,False,False,False,
20-57541,False,False,False,False,False,False,False,
20-57636,False,False,False,False,True,False,False,
20-57649,False,False,False,True,False,False,False,
20-57677,False,False,False,False,False,False,True,
20-57739,False,False,False,True,False,False,False,
20-57751,False,True,False,False,False,False,False,
20-57757,False,False,False,False,True,False,False,
20-57758,False,False,False,False,False,False,True,
20-57765,False,False,False,True,False,False,False,
20-57773,False,False,True,False,False,False,False,
20-57780,False,False,False,False,False,False,False,
20-57784,False,True,False,False,False,False,False,
20-57955,False,False,False,False,True,False,False,
20-57984,False,False,False,False,True,False,False,
20-58088,False,False,False,False,True,False,False,
20-58263,False,False,False,False,True,False,False,
15-121712,False,True,False,False,False,False,False,
20-58307,False,False,False,False,True,False,False,
20-58378,False,False,False,False,False,False,True,
20-58419,False,False,False,False,False,True,False,
20-58436,False,False,False,False,False,False,False,
20-58497,False,False,False,True,False,False,False,
20-58502,False,False,False,False,False,False,True,
20-58515,False,False,False,False,False,False,True,
20-58600,False,False,False,False,True,False,False,
20-58691,False,False,False,False,False,False,True,
20-58707,False,False,False,False,False,True,False,
20-58803,False,True,False,False,False,False,False,
20-58842,False,False,False,False,False,False,True,
20-31741,False,False,False,False,True,False,False,
20-31435,False,False,False,False,True,False,False,
20-59039,False,False,False,False,True,False,False,
20-59121,False,False,False,True,False,False,False,
20-59177,False,False,False,False,True,False,False,
20-59217,False,False,True,False,False,False,False,
20-59249,False,False,False,True,False,False,False,
20-59294,False,False,False,True,False,False,False,
20-59324,False,False,False,False,False,False,False,
20-32522,False,True,False,False,False,False,False,
20-59351,False,False,False,False,False,False,True,
20-59357,False,False,False,False,False,True,False,
20-59363,False,False,False,False,False,False,True,
20-59364,False,False,False,True,False,False,False,
20-59365,False,False,False,False,False,False,True,
20-59370,False,False,False,False,False,False,False,
20-59379,False,False,False,False,True,False,False,
20-59381,False,False,False,False,True,False,False,
20-59386,False,False,False,False,True,False,False,
20-59394,False,False,False,False,True,False,False,
20-59404,False,False,False,False,False,False,True,
20-59405,False,False,False,False,False,True,False,
20-59416,False,False,False,False,False,False,True,
20-59420,False,False,False,False,True,False,False,
20-59424,False,False,False,False,True,False,False,
20-59440,False,True,False,False,False,False,False,
20-59454,False,False,False,False,True,False,False,
20-59455,False,False,False,False,True,False,False,
20-59456,False,False,False,False,False,False,False,
20-59470,False,False,False,False,True,False,False,
20-59473,False,False,False,False,True,False,False,
20-59476,False,False,True,False,False,False,False,
20-59478,False,True,False,False,False,False,False,
20-59479,False,False,False,True,False,False,False,
20-59481,False,False,False,False,True,False,False,
20-59483,False,False,False,False,True,False,False,
20-59484,False,False,True,False,False,False,False,
19-62643,False,False,False,False,True,False,False,
20-59490,False,False,False,False,True,False,False,
20-59491,False,False,True,False,False,False,False,
20-59496,False,False,False,False,True,False,False,
20-59498,False,False,False,False,False,False,True,
20-59504,False,False,False,True,False,False,False,
20-59505,False,False,False,False,True,False,False,
20-59507,False,False,False,False,False,False,True,
20-59508,False,True,False,False,False,False,False,
20-59509,False,False,False,False,False,False,True,
20-59510,False,False,False,False,False,False,True,
20-59512,False,False,False,False,True,False,False,
20-59515,False,False,False,False,False,False,False,
20-59516,False,False,False,False,True,False,False,
20-59519,False,False,False,False,False,False,False,
20-59521,False,False,False,False,False,True,False,
20-59522,False,False,False,False,False,False,False,
20-59524,False,False,False,False,True,False,False,
20-59525,False,False,False,False,True,False,False,
20-59527,False,False,False,False,True,False,False,
20-59531,False,False,False,False,False,False,False,
20-59533,False,True,False,False,False,False,False,
20-59542,False,False,False,False,True,False,False,
20-59543,False,False,False,True,False,False,False,
20-59545,False,False,False,False,False,False,False,
20-59546,False,False,False,False,False,False,False,
20-59548,False,False,False,False,False,True,False,
20-59550,False,False,False,False,False,False,True,
20-59551,False,False,False,False,False,False,False,
20-59555,False,False,False,False,True,False,False,
20-59556,False,False,False,False,False,False,False,
20-59557,False,False,False,False,True,False,False,
20-59558,False,False,False,False,False,False,False,
20-59559,False,False,False,False,False,False,False,
20-59563,False,False,False,False,True,False,False,
20-59569,False,True,False,False,False,False,False,
20-59570,False,False,False,True,False,False,False,
20-59571,False,False,False,False,True,False,False,
20-59572,False,False,False,False,True,False,False,
20-59576,False,False,False,False,False,False,True,
20-59577,False,False,False,False,False,False,True,
20-59579,False,False,False,False,True,False,False,
20-59584,False,True,False,False,False,False,False,
20-59585,False,False,False,False,True,False,False,
20-59587,False,False,False,False,True,False,False,
20-59590,False,False,False,False,False,False,False,
20-59594,False,False,True,False,False,False,False,
20-59599,False,False,False,False,False,False,False,
20-59602,False,False,False,False,True,False,False,
19-19320,False,False,False,False,False,False,True,
20-59605,False,False,False,False,True,False,False,
